row 1: 附件1 |  |  |  |  |  |  |  |  | 
row 2: 桂林市2022年重大（前期）项目投资计划 |  |  |  |  |  |  |  |  | 
row 3: 编制单位：桂林市重大项目推进办公室 |  |  |  |  | 单位：万元 |  |  |  | 
row 4: 序号 | 项目名称 | 建设规模及内容 | 总投资 | 2022年前期工作或工程
row 39: 3 | 灌阳抽水蓄能电站项目 | 电站装机容量120万千瓦，安装4台单机容 | 800000 | 完成项目前期工作，力争开工建设。 | 南方电网调峰调频发电有限公司 | 灌阳县政府 | 前期 | 其他能源 | 
row 40: 4 | 国能永福光伏及综合能源开发项目 | 项目总投资约2.8亿元，用于建设光伏及综 | 28000 | 完成招投标工作，并开展光伏板安装。 | 国能永福发电有限公司 | 经济技术开发区管委会 | 前期 | 其他能源 | 
row 41:  | （三）水利 | 6 | 1014310.98 |  |  |  |  |  | 
row 42:  | ——防洪工程 | 1 | 20700 |  |  |  |  |  | 
row 43: 1 | 象山区中小河流防洪治理工程 | 项目位于平山街道办事处与二塘乡，对南湾河 | 20700 | 开展前期工作。 | 象山区人民政府 | 象山区政府 | 前期 | 防洪工程 | 
row 44:  | ——水库及水利枢纽 | 2 | 813376 |  |  |  |  |  | 
row 45: 1 | 恭城县社坪水库 | 项目新建中型水库1座，工程等别为Ⅲ等，主 | 51520 | 完成可行性研究报告批复工作。 | 恭城瑶族自治县水利局 | 恭城瑶族自治县政府 | 前期 | 水库及水利枢纽 | 
row 46: 2 | 广西桂林市长塘水库工程 | 长塘水库工程是一座以城乡供水、灌溉为主， | 761856 | 继续推动可研报告审批工作，同步开展长塘水 | 桂林市青龙潭水利建设投资有限公司 | 市水利局 | 前期 | 水库及水利枢纽 | 
row 47:  | ——其他水利 | 3 | 180234.98 |  |  |  |  |  | 
row 48: 1 | 广西壮族自治区桂林市临桂区水务水利设施P | 新建建设内容包括河道治理工程；供水工程（ | 113934.98 | 完善前期手续。 | 桂林市临桂区水利局 | 临桂区政府 | 前期 | 其他水利 | 
row 49: 2 | 灵渠（南渠）三期修缮工程 | 星桥至黄龙堤段，渠两岸十米范围内环境整治 | 6300 | 完成前期工作。 | 兴安县文广体旅局 | 兴安县政府 | 前期 | 其他水利 | 
row 50: 3 | 兰塘河以南片区湖塘水系连通工程 | 总长度9.6公里，主要建设面积内容包含： | 60000 | 开展可研、初设等前期工作。 | 桂林新城投资开发集团有限公司 | 临桂新区管委会 | 前期 | 其他水利 | 
row 51:  | （四）城市基础设施 | 33 | 3493945.29 |  |  |  |  |  | 
row 52:  | ——道路及桥梁 | 13 | 1233018.05 |  |  |  |  |  | 
row 53: 1 | 秀峰区长海路改扩建工程项目 | 项目改建道路全长约904米，道路等级为城 | 5000 | 积极推进土地规划报批；完成征地公告，在具 | 桂林市秀峰区城市建设投资有限责任公司 | 秀峰区政府 | 前期 | 道路及桥梁 | 
row 54: 2 | 兴安县县城东环、南环路 | 路线全长16.689公里，采用一级公路标 | 77345 | 完成各项前期工作，力争开工建设。 | 兴安县交通运输局 | 兴安县政府 | 前期 | 道路及桥梁 | 
row 55: 3 | 湘江二桥、三桥建设项目 | 二桥：全桥长188.08米，桥宽40米； | 11000 | 完成前期工作。 | 兴安县交通运输局 | 兴安县政府 | 前期 | 道路及桥梁 | 
row 56: 4 | 二塘互通至工业园区东区公路 | 拟建设一级公路4.11千米，设计速度80 | 12102 | 完成项目前期工作。 | 平乐县交通运输局 | 平乐县政府 | 前期 | 道路及桥梁 | 
row 57: 5 | 荔浦市荔城镇滨江南路延长线建设项目 | 新建道路全长1.432公里，道路等级为城 | 7639 | 完成规划设计、征地拆迁等前期工作。 | 荔浦市交通运输局 | 荔浦市政府 | 前期 | 道路及桥梁 | 
row 58: 6 | 临桂新区机场路以北片区路网 | 庙岭大道一期、二期、三期；沙塘大道三期； | 60000 | 待取得机场路以北片区控规优化调整批复后抓 | 桂林新城投资开发集团有限公司 | 临桂新区管委会 | 前期 | 道路及桥梁 | 
row 59: 7 | 临桂新区第一批路网 | 建设汇景路、康桥路。其中，汇景路道路全长 | 20000 | 开展招标工作。 | 桂林新城投资开发集团有限公司 | 临桂新区管委会 | 前期 | 道路及桥梁 | 
row 60: 8 | 红河路 | 道路长约1.8千米，红线宽28米。配套建 | 8278 | 完成可施工段水稳层。 | 桂林经开投资控股有限责任公司 | 经济技术开发区管委会 | 前期 | 道路及桥梁 | 
row 61: 9 | 桂林医学院附属医院漓东新院配套路网建设工 | 桂林医学院附属医院漓东新院配套路网建设工 | 49217.05 | 完成所有项目前期工作，力争开工建设。 | 市经投集团 | 市经投集团 | 前期 | 道路及桥梁 | 
row 62: 10 | 阳江路一期（金顺昌食品厂至万福路段） | 道路等级为城市快速路，全线高架。主路双向 | 669249 | 完成所有项目前期工作，力争开工建设。 | 市经投集团 | 市经投集团 | 前期 | 道路及桥梁 | 
row 63: 11 | 桂林市桂磨路立交工程 | 项目为七星区桂磨路与东二环路立交工程，采 | 80445 | 征拆、报批报建工作（规划总平及综合管线申 | 桂林国投产业发展集团有限公司 | 市住房城乡建设局 | 前期 | 道路及桥梁 | 
row 64: 12 | 桂林市万福路立交工程 | 项目为凯风路、万福路、万福东路立交工程， | 90743 | 征拆、报批报建工作（规划总平及综合管线申 | 桂林国投产业发展集团有限公司 | 市住房城乡建设局 | 前期 | 道路及桥梁 | 
row 65: 13 | 桂林市桂雁路工程 | 桂雁路道路等级为城市主干道，红线宽度为5 | 142000 | 待上位规划确定后开展后续前期工作。 | 市交投集团 | 市住房城乡建设局 | 前期 | 道路及桥梁 | 
row 66:  | ——供水 | 3 | 75136.3 |  |  |  |  |  | 
row 67: 1 | 兴安县灵渠水厂及管网配套工程项目 | 1.建设内容：主要为兴安县灵渠水厂及管网 | 15000 | 力争完成各项前期工作。 | 兴安县自来水公司 | 兴安县政府 | 前期 | 供水 | 
row 68: 2 | 兴安县乡镇自来水管网建设及提升改造工程 | 新建自来水管网、厂房及配套设施，供输水管 | 42195.3 | 完成前期工作。 | 兴安县水利局 | 兴安县政府 | 前期 | 供水 | 
row 69: 3 | 平乐县城区供水管网工程 | 项目规划净用地5204平方米，建设自来水 | 17941 | 1.完成前期规划。
2.取得选址、环评批 | 桂林市平乐县城市管理监督局 | 平乐县政府 | 前期 | 供水 | 
row 70:  | ——其他城基 | 17 | 2185790.94 |  |  |  |  |  | 
row 71: 1 | 道路畅通工程（打通断头路） | 打通滨江北路、春江路、永彩路、群众东路以 | 290000 | 1.完成医学院漓东分院至东二环路的路网规 | 桂林市叠彩基础建设开发有限公司 | 叠彩区政府 | 前期 | 其他城基 | 
row 72: 2 | 桂林高新区象山园漓西片区基础设施建设项目 | 项目位于桂林高新区象山园漓西片区环城南二 | 210000 | 开展前期工作。 | 桂林兴象投资开发有限公司 | 象山区政府 | 前期 | 其他城基 | 
row 73: 3 | 桂林市七星区漓东生态景观大道（堤园路） | 项目占地面积约420亩，起点为净瓶山大桥 | 200000 | 完成规划调整论证。 | 桂林高新投资开发集团有限责任公司 | 七星区政府 | 前期 | 其他城基 | 
row 74: 4 | 桂林市东二环公交停车场项目 | 项目总占地面积65亩，建筑面积约12万平 | 50000 | 完成规划调整并供地。 | 市交投集团 | 七星区政府 | 前期 | 其他城基 | 
row 75: 5 | 桂林市临桂区基础设施及智慧停车项目（一期 | 本项目拟实施万福中路建设工程、临桂区现有 | 21635.77 | 完善前期手续。 | 桂林市临桂区临盛城市投资有限公司 | 临桂区政府 | 前期 | 其他城基 | 
